"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2010","New Private Cars","All fuel types","Number","84907"
"New and Secondhand Vehicles","2010","New Private Cars","Petrol","Number","27124"
"New and Secondhand Vehicles","2010","New Private Cars","Diesel","Number","53998"
"New and Secondhand Vehicles","2010","New Private Cars","Other fuel types","Number","3049"
"New and Secondhand Vehicles","2010","New Private Cars","Electric","Number","23"
"New and Secondhand Vehicles","2010","New Private Cars","Hybrid","Number","713"
"New and Secondhand Vehicles","2011","New Private Cars","All fuel types","Number","86932"
"New and Secondhand Vehicles","2011","New Private Cars","Petrol","Number","23246"
"New and Secondhand Vehicles","2011","New Private Cars","Diesel","Number","61730"
"New and Secondhand Vehicles","2011","New Private Cars","Other fuel types","Number","1370"
"New and Secondhand Vehicles","2011","New Private Cars","Electric","Number","48"
"New and Secondhand Vehicles","2011","New Private Cars","Hybrid","Number","538"
"New and Secondhand Vehicles","2012","New Private Cars","All fuel types","Number","76256"
"New and Secondhand Vehicles","2012","New Private Cars","Petrol","Number","17788"
"New and Secondhand Vehicles","2012","New Private Cars","Diesel","Number","56520"
"New and Secondhand Vehicles","2012","New Private Cars","Other fuel types","Number","1194"
"New and Secondhand Vehicles","2012","New Private Cars","Electric","Number","163"
"New and Secondhand Vehicles","2012","New Private Cars","Hybrid","Number","591"
"New and Secondhand Vehicles","2013","New Private Cars","All fuel types","Number","71348"
"New and Secondhand Vehicles","2013","New Private Cars","Petrol","Number","18964"
"New and Secondhand Vehicles","2013","New Private Cars","Diesel","Number","51772"
"New and Secondhand Vehicles","2013","New Private Cars","Other fuel types","Number","6"
"New and Secondhand Vehicles","2013","New Private Cars","Electric","Number","51"
"New and Secondhand Vehicles","2013","New Private Cars","Hybrid","Number","555"
"New and Secondhand Vehicles","2014","New Private Cars","All fuel types","Number","92361"
"New and Secondhand Vehicles","2014","New Private Cars","Petrol","Number","23417"
"New and Secondhand Vehicles","2014","New Private Cars","Diesel","Number","67740"
"New and Secondhand Vehicles","2014","New Private Cars","Other fuel types","Number","28"
"New and Secondhand Vehicles","2014","New Private Cars","Electric","Number","222"
"New and Secondhand Vehicles","2014","New Private Cars","Hybrid","Number","954"
"New and Secondhand Vehicles","2015","New Private Cars","All fuel types","Number","121110"
"New and Secondhand Vehicles","2015","New Private Cars","Petrol","Number","32963"
"New and Secondhand Vehicles","2015","New Private Cars","Diesel","Number","86103"
"New and Secondhand Vehicles","2015","New Private Cars","Other fuel types","Number","6"
"New and Secondhand Vehicles","2015","New Private Cars","Electric","Number","476"
"New and Secondhand Vehicles","2015","New Private Cars","Hybrid","Number","1562"
"New and Secondhand Vehicles","2016","New Private Cars","All fuel types","Number","141931"
"New and Secondhand Vehicles","2016","New Private Cars","Petrol","Number","39472"
