"Statistic Label","Year","Transport Traffic Site","Weeks of the year","UNIT","VALUE"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 01","Number","463064"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 02","Number","534609"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 03","Number","549470"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 04","Number","550892"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 05","Number","543468"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 06","Number","551850"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 07","Number","567892"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 08","Number","575255"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 09","Number","569793"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 10","Number","570752"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 11","Number","546053"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 12","Number","559722"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 13","Number","592217"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 14","Number","579543"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 15","Number","583124"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 16","Number","560245"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 17","Number","564764"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 18","Number","580301"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 19","Number","569762"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 20","Number","594815"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 21","Number","603575"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 22","Number","587534"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 23","Number","572720"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 24","Number","595508"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 25","Number","593055"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 26","Number","601581"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 27","Number","590467"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 28","Number","587003"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 29","Number","584356"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 30","Number","588741"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 31","Number","579020"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 32","Number","564465"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 33","Number","588621"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 34","Number","599607"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 35","Number","591575"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 36","Number","592419"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 37","Number","588597"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 38","Number","586374"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 39","Number","588882"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 40","Number","572375"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 41","Number","587243"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 42","Number","580936"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 43","Number","583163"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 44","Number","561316"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 45","Number","577276"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 46","Number","579190"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 47","Number","572909"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 48","Number","578130"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 49","Number","579484"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 50","Number","583247"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 51","Number","585770"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 52","Number","423282"
"Average weekly volume of cars","2019","Selected traffic sites - Dublin","Week 53","Number",""
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 01","Number","459023"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 02","Number","535401"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 03","Number","546354"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 04","Number","556012"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 05","Number","563146"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 06","Number","551737"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 07","Number","547994"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 08","Number","566784"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 09","Number","560278"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 10","Number","563919"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 11","Number","483016"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 12","Number","327382"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 13","Number","248058"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 14","Number","143557"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 15","Number","134308"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 16","Number","134401"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 17","Number","155938"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 18","Number","159169"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 19","Number","169694"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 20","Number","200968"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 21","Number","263438"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 22","Number","286726"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 23","Number","289055"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 24","Number","369887"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 25","Number","397286"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 26","Number","413348"
